Tower Name,Latitude,Longitude
February,4.7096037864685,103.3964233398438
February,4.7096333503723,103.3962326049805
February,4.7096409797668,103.3961639404297
February,4.7099318504333,103.393913269043
February,4.710015296936,103.3936157226562
February,4.7136559486389,103.3891906738281
February,4.7151193618774,103.385009765625
February,4.7146801948547,103.3843841552734
February,4.7144732475281,103.384147644043
February,4.711000919342,103.3840103149414
February,4.7105398178101,103.3842468261719
February,4.7102327346802,103.384407043457
February,4.7096390724182,103.3847122192383
February,4.7093405723572,103.3848648071289
February,4.7077269554138,103.3857040405273
February,4.7068963050842,103.3861923217773
February,4.7061042785645,103.3867492675781
February,4.7058458328247,103.3869476318359
February,4.7053170204163,103.387321472168
February,4.705174446106,103.3873977661133
February,4.7048816680908,103.3875579833984
February,4.7047367095947,103.3876190185547
February,4.7045998573303,103.3876876831055
February,4.7042608261108,103.3878021240234
February,4.7037906646729,103.3871917724609
February,4.7033281326294,103.3860321044922
February,4.7041888237,103.3867492675781
February,4.704309463501,103.3868713378906
February,4.7043032646179,103.3868637084961
February,4.70427942276,103.3868637084961
February,4.7042775154114,103.3868637084961
February,4.704258441925,103.386833190918
February,4.7041935920715,103.3867645263672
February,4.7037625312805,103.3871536254883
February,4.7038197517395,103.3872146606445
February,4.7040057182312,103.3874664306641
February,4.7040586471558,103.3876724243164
February,4.7040824890137,103.3877487182617
February,4.7040843963623,103.3877639770508
February,4.7040100097656,103.3878555297852
February,4.7039527893066,103.3878860473633
February,4.7037091255188,103.3879776000977
February,4.7035055160522,103.3880310058594
February,4.7033905982971,103.388053894043
February,4.7028703689575,103.3881378173828
February,4.7013554573059,103.3883514404297
February,4.7001261711121,103.3887557983398
February,4.6982707977295,103.3897399902344
February,4.6982383728027,103.3897094726562
February,4.6981739997864,103.3896713256836
February,4.697943687439,103.3893890380859
February,4.69797706604,103.3894577026367
February,4.6979870796204,103.3894882202148
February,4.6979923248291,103.3895034790039
February,4.6980175971985,103.3895645141602
February,4.6980233192444,103.3895874023438
February,4.6981182098389,103.3896560668945
February,4.6981515884399,103.3896636962891
February,4.6984906196594,103.3899307250977
February,4.6984906196594,103.3899307250977
February,4.6978778839111,103.390739440918
February,4.6973042488098,103.3912658691406
February,4.6966218948364,103.3910598754883
February,4.6965713500977,103.390983581543
February,4.6964349746704,103.3909149169922
February,4.6963200569153,103.390983581543
February,4.695830821991,103.3912963867188
February,4.6957592964172,103.3912582397461
February,4.6956610679626,103.3910293579102
February,4.6957454681396,103.3908462524414
February,4.6957321166992,103.3908233642578
February,4.6951222419739,103.3907928466797
February,4.6947975158691,103.391227722168
February,4.6948547363281,103.3914566040039
February,4.6944403648376,103.3929290771484
February,4.6937956809998,103.393196105957
February,4.6925930976868,103.3934860229492
February,4.69158411026,103.3935241699219
February,4.6888246536255,103.3940505981445
February,4.6882934570312,103.3941802978516
February,4.6875834465027,103.3943481445312
February,4.6867694854736,103.394645690918
February,4.6866126060486,103.3947219848633
February,4.6855425834656,103.3955993652344
February,4.6840496063232,103.3964080810547
February,4.6837191581726,103.3965225219727
February,4.6822443008423,103.3974685668945
February,4.6814517974854,103.3978424072266
February,4.6801438331604,103.3983688354492
February,4.6798157691956,103.3984985351562
February,4.6770467758179,103.3996124267578
February,4.6756911277771,103.4001693725586
February,4.6756091117859,103.400260925293
February,4.6756258010864,103.4003295898438
February,4.6756381988525,103.4003601074219
February,4.6757035255432,103.400390625
February,4.6757411956787,103.4003677368164
